IDENT_PVP;N_SQ_CA;NUM_PVP;ADR_ORI;ADR_SUP;TYP_PROT;MOTIVATION
02-0163;2;163;41 rue de la Lune;19 rue Notre Dame de Recouvrance;BP;Hôtel de la fin du XVIIème siècle. Les mansardes les ferronneries et la porte cochère dont les oculi vitrés sont enjolivés de fleurs ont été préservés
02-0304;2;304;1 rue Mandar;57, rue Montorgueil;BP;"Maison datant du lotissement de la rue en 1790-1792 présentant une façade composée de trois travées sur la Montorgueil, de dix travées sur la rue Mandar et de trois étages carrés sur entresol et rez-de-chaussée. Angle abattu et chanfreiné. Fruit apparent. Bandeaux d'étages. Ferronneries Directoire. Panneaux moulurés entre les fenêtres de l'entresol. Entourages des fenêtres et corniche moulurés. Lucarnes. Escalier à rampe de barreaux forgés. (édifice référencé in ""Le quartier Montorgueil Saint-Denis"", étude réalisée par A. Gady pour l'association pour la Sauvegarde et la Mise en valeur du Paris historique, 1992)"
02-0311;2;311;2-4 rue Mandar;59, rue Montorgueil;BP;"Grand immeuble datant du lotissement de la rue en 1790-1792, semblable au n°1 rue Mandar, présentant une façade composée de quatre étages carrés sur rez-de-chaussée. Corniche moulurée sur denticules. Deux escaliers dont l'un en spirale de plus en plus étroit et rampe de barreaux forgés. (édifice référencé in ""Le quartier Montorgueil Saint-Denis"", étude réalisée par A. Gady pour l'association pour la Sauvegarde et la Mise en valeur du Paris historique, 1992)"
02-0431;2;431;21 rue Marie Stuart;;BP;"Maison présentant une façade composée de trois travées et de quatre étages carrés sur rez-de-chaussée. Porte flanquée de piliers galbés au sommet et surmontée d'une grille fin XVIIIème siècle. Corniche moulurée. Lucarnes. Escalier à deux noyaux interrompus et rampe de fer forgé (refaite en barreaux forgés aux deuxième et troisième étages). (édifice référencé in ""Le quartier Montorgueil Saint-Denis"", étude réalisée par A. Gady pour l'association pour la Sauvegarde et la Mise en valeur du Paris historique, 1992)"
02-0299;2;299;41 rue Montmartre;;BP;"Maison présentant une façade composée d'une seule large travée sur chacune des deux voies et de cinq étages carrés sur rez-de-chaussée. Pan coupé à l'angle de la rue de la Jussienne. Fenêtres à entourage mouluré. (édifice référencé in ""Le quartier Montorgueil Saint-Denis"", étude réalisée par A. Gady pour l'association pour la Sauvegarde et la Mise en valeur du Paris historique, 1992)"
02-0099;2;99;112 rue Montmartre;;BP;"Maison de commerçant présentant une façade composée de cinq étages carrés sur rez-de-chaussée et de trois travées située dans un tissu homogène. Modernisation vers 1800 avec refends à l'entresol. Serlienne au premier étage. Grande mansarde à fronton probablement le reliquat d'une poulie. L'un des rares immeubles de la rue Montmartre ""modernisés"" vers 1800 avec le 136."
02-0438;2;438;50 rue Montorgueil;39 rue Tiquetonne;BP;"Maison datant probablement du XVIème siècle et modifiée aux XVIIème et XVIIIème siècles. Façade composée de six travées sur la rue Tiquetonne, une travée sur la rue Montorgueil et de trois étages carrés sur rez-de-chaussée. Trois lucarnes maçonnées dans comble à surcroît et trois lucarnes curvilignes. Fruit important. Bandeaux plats. Corniche moulurée. Ferronneries à la fenêtre du premier étage sur la rue Montorgueil. A partir du premier étage, escalier en vis s'enroulant autour d'un gros noyau spiralé en main courante. Sur les deux rues, longue grille de marchand de vin du XVIIIème siècle. (édifice référencé in ""Le quartier Montorgueil Saint-Denis"", étude réalisée pour l'association pour la Sauvegarde et la Mise en valeur du Paris historique, 1992)"
02-0440;2;440;53 rue Montorgueil;;BP;"Maison présentant une façade composée de deux travées et de quatre étages carrés sur rez-de-chaussée. Entourage des fenêtres et bandeaux moulurés, denticules sous le premier bandeau. (édifice référencé in ""Le quartier Montorgueil Saint-Denis"", étude réalisée pour l'association pour la Sauvegarde et la Mise en valeur du Paris historique, 1992)"
02-0282;2;282;51 rue Réaumur;24, rue de Palestron, 103, boulevard de Sébastopol;BP;Immeuble d'activité de 1910 édifié par l'architecte Charles-Henri Le Maresquier formant une tête d'îlot donnant sur la rue de Réaumur et encadrée par le boulevard Sébastopol et rue de Palestro de style néo-baroque. Rotonde d'angle polychrome éléments de décoration en ronde-bosse : guirlandes de fruits caducées attributs d'Hermès. Anciens magasins Félix Potin.
02-0559;2;559;15 boulevard Poissonnière;;BP;Immeuble de rapport de style néo-Louis XVI présentant une façade composée de treize travées et élevée de trois étages carrés sur rez-de-chaussée surmontés de deux niveaux de combles. Décor néoclassique : frontons surmontant les baies de l'étage noble garde-corps de style Louis XVI corniches à denticules et modillons. Porte dans l'axe de symétrie de la façade avec double vantaux en bois. Ensemble bâti remarquable s'inscrivant dans les séquences historiques des Grands Boulevards parisiens.
02-0225;2;225;10 rue Saint-Augustin;;BP;Maison à loyer édifiée sous la Monarchie de Juillet. Façade composée de cinq travées dont les baies sont ornées de belles grilles et encadrée de remarquables moulures caractéristiques du style Louis-Philippe. Le premier étage formant entresol est orné de refends.
05-0276;5;276;14 rue de l'Hôtel Colbert;;BP;Maison présentant une façade du début du XVIIème siècle avec un rythme irrégulier dans les percements. Le comble avec sa grande lucarne à fronton et ses vieilles tuiles est très représentatif.
05-0047;5;47;1-11 rue de la Huchette;;BP;Au n°1, maison construite en 1979 dans une logique d'architecture d'accompagnement. Elle ferme la plaie ouverte au début du siècle par l'élargissement de la rue du Petit-Pont. Du n°3 au n°11 séquence cohérente de maisons d'ancien Régime et de maisons de la première moitié du XIXème siècle. N°3,5,7 maisons étroites composées d'une à deux travées d'origine du XVIIème siècle à l'alignement ancien. Les façades présentent un fruit (n°3 édifice référencé in J.-P. Babelon Demeures parisiennes sous Henri IV et Louis XIII, édition Hazan, 1991). N°9 réunion de deux maisons présentant dans leur aspect actuel une façade d'aspect de la première moitié du XIXème siècle. N°11 maison du XVIIème siècle
06-0265;6;265;13 rue Mazarine;;BP;Maison Louis XIV. Façade en pierre de taille composée de trois travées et de trois étages carrés sur rez-de-chaussée. Maison construite sur l’excédent des terrains expropriés pour la construction du collège des Quatre-Nations et donc contemporaines de celui-ci (collège construit entre 1663 et 1684). La maison appartenant au prytanée de Saint-Cyr fut saisie puis vendue en 1806.
06-0208;6;208;74 rue Mazarine;;BP;Ensemble cohérent de maisons datées du XVIIème siècle et dont les façades ont été remaniées au XVIIIème siècle et présentent aujourd'hui un aspect néoclassique et des éléments de style Louis XVI et Louis XV. Façade de trois travées et garde-corps de style Louis XVI.
06-0519;6;519;23 rue Serpente;;BP;Dans son état actuel maison présentant une façade du XVIIIème siècle ornée de refends composée de quatre travées et élevée de trois étages carrés sur rez de chaussée. Arcade de l'ancienne porte cochère du XVIIème siècle en pierre de taille appareillée. Baies cintrées au premier étage portant de beaux appuis de fenêtres en fer forgé de style Louis XV.
20-0140;20;140;36 rue Olivier Métra;;BP;Ensemble d'Habitations à Bon Marché construit par les architecte Tisseyre Chauliat et Langre en 1928 pour la Ville de Paris présentant une façade composée de six étages sur rez-de-chaussée. Porche s'élevant jusqu'au deuxième étage et traitement monumental de la façade sur rue. Garde-corps de style Art Déco. Soubassement en pierre de moellons. Remplissage de briques rouges.
20-0132;20;132;29 rue Pixerécourt;2 rue Olivier Metra;BP;Maison présentant un aspect de la première moitié du XIXème siècle implantée en retrait de l'alignement et ouvrant sur un jardin clos par une grille à l'avant. Longue façade composée de deux étages carrés sur rez-de-chaussée de style Monarchie de Juillet (décor de pilastres frontons plats au-dessus des baies persiennes).
02-0164;2;164;4 rue Saint-Joseph;;BP;"Hôtel dit d'Hautpoul édifié entre 1767 et 1768 par l'entrepreneur Pierre-Gillet Habert pour le maître sellier-carrossier Jean Bournigal. Portail en pierre de taille et mansarde à poulie conservé. Habité à partir des années 1780 et jusque dans la seconde moitié du XIXème siècle par la famille d'Hautpoul originaire du Languedoc. Le maître-maçon ""Habert a conçu un édifice simple dont le plan est commandé par le terrain : un corps de logis principal au fond (il n'y a pas de jardin) avec une aile à gauche masquant le mitoyen entourant une cour fermée sur la rue par un mur ouvert d'un portail. Dans l'axe de l'entrée se trouve la porte de l'hôtel et le vestibule desservant l'escalier placé à droite à l'extrémité du corps de logis. Chacun des étages carrés renferme un grand appartement en L. (...) Le style mâle du portail ainsi que du motif de la porte d'entrée à imposte en plein cintre et le vestibule à colonnes doriques sont des éléments remarquables qui se rattachent au nouveau style néoclassique"". (notes A. Gady et Cl. Landes in procès verbal de la Commission du vieux Paris du 10 juin 1996.) Croisées anciennes du premier étage remarquablement restaurées en 1995."
16-0182;16;182;64 rue de la Pompe;angle rue de la Tour;BP;Immeuble de rapport situé à l'angle des rues de la Pompe et de La Tour présentant des façades et un pan coupé composés de trois étages carrés sur rez-de-chaussée. Lambrequins conservés au tympan des fenêtres cintrés. Immeuble particulièrement bien conservé dans son contexte et caractéristique de l'habitat de la petite bourgeoisie de l'ancien village de Passy au XIXème siècle.
16-0074;16;74;2 avenue Raphaël;1 boulevard Suchet;BP;Hôtel particulier de la Belle-Epoque en pierre de taille s'inspirant librement du vocabulaire architectural du XVIIIème siècle. Hôtel implanté à l'angle de deux rues sur un jardin arboré. Escalier à double volée donnant sur le jardin. Baies cintrées et porte ornées de mascarons. Actuellement représentation diplomatique.
02-0330;2;330;44 rue Tiquetonne;15, rue Marie Stuart;BP;Maison du XVIIème siècle présentant une façade en pierre de taille composée de quatre travées. Grandes arcatures embrassant le rez-de-chaussée et l'entresol dans un tympan sculpté en bois des consoles renversées cantonnent la fenêtre carrée. Remarquables appuis de fenêtre en fer forgé Louis XIV.
02-0509;2;509;53 rue Saint-Sauveur;;BP;"Maison présentant une façade composée de trois travées irrégulières et de quatre étages carrés sur rez-de-chaussée. Bandeaux. (édifice référencé in ""Le quartier Montorgueil Saint-Denis"", étude réalisée pour l'association pour la Sauvegarde et la Mise en valeur du Paris historique, 1992)"
02-0167;2;167;22-24 rue du Sentier;;BP;Hôtel de Le Normand d'Etioles fermier général époux de Jeanne Poisson future marquise de Pompadour, Un arc outrepassé comprenant un imposte en fer forgé met en valeur l'entrée de l'escalier.
02-0517;2;517;5 rue Tiquetonne;;BP;"Maison présentant une façade composée de trois travées et de quatre étages carrés sur rez-de-chaussée. Appuis de fenêtres moulurés au premier étage. Un bandeau et une corniche moulurés. Lucarnes curvilignes. poutres aux plafonds des appartements. (édifice référencé in ""Le quartier Montorgueil Saint-Denis"", étude réalisée pour l'association pour la Sauvegarde et la Mise en valeur du Paris historique, 1992)"
06-0441;6;441;7 rue Séguier;;BP;Maison sur des bases très anciennes présentant dans son état actuel une façade de la toute fin du XVIIIème siècle composée de deux travées et de quatre étages carrés sur rez-de-chaussée. Garde-corps en fer forgé néoclassique à partir du deuxième étage. Persiennes placées au-dessus du garde-corps saillant.
06-0436;6;436;16 rue Séguier;;BP;Hôtel du baron Séguier (1803-1848) premier président à la cour d'Appel de Paris et ancien hôtel de Moussy d'Argouges (1695) de la Housse de Flamarens (1728) de Marigny (1750) (selon Lefeuve Rochegude). L'hôtel de Moussy édifié au XVIIème siècle sur une immense parcelle fut cédé en 1695 par Henri d'Orléans marquis de Rothelin à la veuve d'Henri d'Argouges marquis de Rennes seigneur de Fleury gouverneur d'Alençon. Cité parfois sous le nom d'hôtel d'Argouges il est plus connu sous le nom d'hôtel Séguier du nom du baron Séguier pair de France qui y résida jusqu'à sa mort. Remarquable porte cochère sculptée de style Régence surmontée d’une corniche soutenue par deux consoles et couronnée de balustres. La façade est très simple et a été quelque peu remaniée en 1849 époque où le président Séguier habitait la rue et lui laissa son nom. L'hôtel bénéficie d'une double orientation sur le jardin et sur la cour.
06-0192;6;192;17 rue de Seine;;BP;Maison présentant une façade composée de trois travées d'aspect du XVIIIème siècle sur des bases sans doute plus anciennes présentant au second étage de remarquables appuis en fer forgé Régence
06-0072;6;72;30 rue de Seine;;BP;Maison du XVIIème siècle présentant une façade sur rue composée de trois travées et élevée de trois étages carrés sur rez-de-chaussée. Décor de boutique ancienne à coffrage de bois resté visible au premier étage.
06-0237;6;237;14 rue Grégoire de Tours;;BP;Maison du XVIIème siècle faisant partie d'une séquence cohérente. Façade composée de deux travées principales et d'une travée secondaire présentant un décor enrichi postérieurement.
06-0239;6;239;18 rue Grégoire de Tours;;BP;Maison du XVIIème siècle faisant partie d'une séquence cohérente. Façade implantée à l'ancien alignement composée de deux travées et de trois étages carrés sur rez-de-chaussée. Enrichissement du décor au XIXème siècle.
06-0269;6;269;11 rue Guénégaud;;BP;Maison d'inspiration néoclassique présentant une façade en pierre de taille composée de quatre travées d'un rez-de-chaussée d'un entresol de deux étages carrés et d'un étage d'attique. Baies cintrées au niveau de l'entresol. Les trumeaux de l'étage d'attique sont ornés d'urnes en bas-relief.
06-0009;6;9;19b-21 rue des Saints-Pères;19/A rue des Saint-Pères;BP;Maison sans doute issue du lotissement au XVIIème siècle d'un ensemble de maisons de rapport pour les Petits-Augustins dont la vente en 1791 prélude à d'importants remaniements. La façade sur rue présente dans son état actuel un aspect vers 1800 avec ses ferronneries ogivales ses volets intérieurs du XVIIIème et sur la cour des ferronneries du XVIIIème siècle. Dans la cour remarquable pavillon de la conciergerie datant du quatrième quart du XIXème siècle.
06-0010;6;10;23 rue des Saints-Pères;;BP;Maison du XVIIème siècle présentant une façade composée de deux travées avec des appuis de fenêtre en fer forgé et sommée de deux lucarnes passantes. Cette maison constitue un témoignage relativement bien conservé d'un ensemble de maisons locatives propriété des Petits-Augustins sises des n°9 à 29 rue des Saint-Pères et dont les loyers constituaient l'essentiel des revenus de la communauté jusqu'à la Révolution. Elles furent vendues en 1791 démolies pour certaines (n°11-13) ou remaniées à des degrés divers par la suite. (in Dominique Leborgne Saint-Germain-des-Prés et son faubourg évolution d'un paysage urbain Parigramme éd. 2005.)
06-0901;6;901;63 rue des Saints-Pères;;BP;Maison Louis-Philippe implantée au nouvel alignement de 1831. Façade composée de trois travées et élevée de trois étages carrés sur rez-de-chaussée. Garde-corps en fonte.
11-0201;11;201;8-10 passage du Cheval Blanc;3-5, cité Parchappe;BP;Immeuble à usage mixte ateliers et logements élevé vers 1860. Façades formant un pan coupé à l'angle du passage du Cheval Blanc et de la Cité Parchappe. Importantes traces de polychromies rouge et bleue attestées en 1996. Devantures anciennes. Elévation de deux étages carrés sur rez-de-chaussée. Mansardes. Bâtiments dont la position le long du passage du Cheval Blanc et de la Cité Parchappe détermine avec son long linéaire de façade l'ambiance générale.
19-0151;19;151;120 rue de Crimée;;BP;Bâtiment de faible hauteur caractéristique du tissu faubourien
17-0389;17;389;32 et 32 bis rue Des Renaudes;;BP;Intéressant immeuble de style éclectique, édifié en pierre de parement et briques rouges, à la fin du XIXème siècle, associant un hôtel particulier  et un petit immeuble de rapport, d’architecture très soignée.
18-0529;18;529;19 Square de Clignancourt;50 rue Hermel;BP;A. Martinaud, 1914, architecte (Porral constructeur). Grand immeuble d’angle de 14 travées, en pierre de taille, de style néoclassique très dépouillé (dés sous les appuis, ornements floraux des consoles de balcons, agrafes planes), le soubassement à décor de refends. Curieux oriel d’angle. Les deux entrées sont marquées par un oriel.
03-0119;3;119;15 rue des Fontaines du Temple;;BP;Grand corps d'hôtel en pierre de taille présentant une façade composée de six travées et de deux étages carrés sur entresol et rez-de-chaussée. Soubassement en pierre. Les fenêtres sont cintrées et soulignées de feuillures. Le portail présente une profonde voussure. Les vantaux de la porte à panneaux en bois sont conservés. La maison passe pour avoir été le logis de l'abbesse des Madelonnettes.
03-0167;3;167;29-35 rue Meslay;;BP;Séquence cohérente. Au n°29 maison Restauration. Façade composée de cinq travées et trois étages carrés sur rez-de-chaussée. Un étage en retiré desservi par un balcon filant. Au n° 31 maison Restauration avec porte cochère en plein cintre. Soubassement orné de refends et découpé par trois grandes arcades en plein cintre. Au n°33 maison à loyer de la première moitié du XIXème. Façade composée de trois travées et de quatre étages carrés sur rez-de-chaussée. Fenêtre ornées de chambranles moulurés à crossettes. Au n°35 maison présentant une façade Charles X composée de quatre travées et de trois étages carrés sur rez-de-chaussée. Les fenêtres du premier étage sont ouvertes en plein cintre. Le rez-de-chaussée est orné de refends. Porte cochère à vantaux en bois conservée.
03-0163;3;163;42 rue Meslay;35 boulevard Saint-Martin;BP;Au n°42 maison de la première moitié du XVIIIème siècle réputée construite vers 1715 pour le maître menuisier Jean Pigalle père du sculpteur Jean-Baptiste Pigalle. Ensemble composé de deux ailes disposée autour d'une cour et reliées par un corps central sur rue. L'aile de droite est composée de trois travées et de trois étages carrés sur rez-de-chaussée. Les fenêtres sont cintrées et des mascarons ornent les fenêtres du premier étage. Garde-corps Régence. Porte cintrée encadrée d'un décor de refends et surmontée d'un fronton soutenu par deux consoles et une clé sculptées. Le corps central est composé de quatre travées et de deux étages carrés sur rez-de-chaussée. Les fenêtres sont cintrées et les garde-corps à motifs d'ogives. Porte cochère à vantaux en bois conservés du XVIIIème siècle. Inscription de la façade sur rue à l'inventaire supplémentaire des monuments historiques.
03-0179;3;179;20 rue Notre-Dame de Nazareth;;BP;Grand hôtel du XVIIIème siècle dont les bâtiments s'ordonnent régulièrement autour d'une cour carrée. La façade sur rue est composée de six travées et de quatre étages carrés sur rez-de-chaussée. Porte cochère cintrée ayant conservée de remarquables vantaux en bois sculptés. Deux escaliers anciens l'un à barreaux carrés sur limon et l'autre à rampe en fer forgé Louis XV malheureusement mutilés par l'installation d'ascenseurs. Menuiseries anciennes des fenêtres sur cour. Appuis de fenêtres en fer forgé ornés au centre d'une étoile.
03-0321;3;321;44 rue de Saintonge;;BP;Maison reconstruite par l'architecte Philippe-Jacques Noël en 1773 pour Emmanuel de Mortemart qui l'avait acquise en 1772. Sa façade est composée de deux travées et de quatre étages carrés sur rez-de-chaussée. Elle porte de beaux appuis et renferme un escalier à barreaux simple. Lucarnes maçonnées. Porte piétonne cintrée.
03-0142;3;142;11 rue du Vertbois;;BP;Maison du XVIIème siècle présentant une façade composée de trois travées et de trois étages carrés sur rez-de-chaussée. Léger fruit. Soubassement en pierre. Elle a conservé deux escaliers anciens le premier dans le passage et le second au fond de la cour qui possède une structure d'escalier de bois à quatre noyaux mais déjà muni d'une rampe en fer forgé du XVIIème siècle à motif de balustres. Porte de cave XVIIème.
03-0143;3;143;20 rue du Vertbois;;BP;Maison Louis XV présentant une façade composée de deux travées et de trois étages carrés sur rez-de-chaussée. Elévation d'origine conservée. Appuis de fenêtre en fer forgé conservés à tous les étages. Persiennes ajoutées postérieurement.
04-0015;4;15;76 rue Saint-Louis en l'Ile;;BP;île Saint-Louis. Maison à loyer. Datant du XVIIe siècle les édifices à vocation locative s'implantent sur des parcelles étroites et parfois suffisamment profonde pour accueillir un autre bâtiment adossé en fond de terrain. Alignée sur rue la façade recouverte par un enduit de teinte claire présente une sobriété ornementale qui se limite aux moulures soulignant les différents niveaux.
05-0020;5;20;15-19 rue de Bièvre;;BP;Séquence de maisons du XVIIème siècle sur le tracé d'une rue médiévale longeant l'ancien cours de la Bièvre. Au n°15 maison étroite composée de deux travées du XVIIème siècle, rez-de-chaussée présentant une grande arcature, lucarne maçonnée. Remarquable escalier à rampe de fer forgé du XVIIème siècle à motif de figue. Au n°17 maison présentant une façade étroite composée de deux travées du XVIIème siècle abritant un escalier à vide central bordé d'une très belle rampe de fer forgé datant du milieu du XVIIème siècle (appuis de fenêtre en fer forgé). Au n°19 maison Louis XIV présentant une façade composée de trois travées et trois étages carrés sur rez-de-chaussée.
14-0185;14;185;103 rue Raymond Losserand;;BP;Maison présentant une façade composée de cinq travées et de deux étages carrés sur rez-de-chaussée édifiée avant l'annexion à Paris en 1860. Témoignage intéressant de la structure urbaine préexistante dans les anciens villages ceinturant Paris dans la première moitié du XIXème siècle. Chambranles moulurés. Porte cochère. Lucarnes et persiennes.
15-0015;15;15;25-27 rue Rouelle;22 rue Sextius-Michel;BP;Groupe scolaire (école maternelle et primaire) construite en 1912 par Louis Bonnier. Elle constitue une démonstration notamment par la qualité de son architecte directeur de l'architecture de la Ville de Paris de l'évolution qualitative des équipements scolaires. Un jeu savant de volumes rompt la monotonie des équipements traditionnels : pavillons bas guérites décrochements porches creusés toits en débord fenêtres en creux. Les ouvertures sont également diversifiées : baies rectangulaires des classes baies cintrées des préaux multiples tailles des fenêtres. Les porches sont conçus en retrait afin d'augmenter à la sortie des enfants la largeur insuffisante des trottoirs. De même un soin tout particulier est apporté à l'éclairage des classes qui au lieu de recevoir deux fenêtres comme c'était l'usage bénéficient de grandes baies vitrées sur cour. Les façades sont en briques ocres le ciment est incrusté d'opalines les porches d'entrée sont revêtus de briques vernissées de mosaïques brillantes et de verdures décoratives. Les classes les vestibules les corridors et les préaux sont décorés de frises colorées. Tout est fait pour soigner l'accueil et apporter une touche de gaieté.
04-0304;4;304;11 quai de Bourbon;;BP;île Saint-Louis. Maison à loyer. Datant du XVIIe siècle les édifices à vocation locative s'implantent sur des parcelles étroites et parfois suffisamment profonde pour accueillir un autre bâtiment adossé en fond de terrain. Alignée sur rue la façade recouverte par un enduit de teinte claire présente une sobriété ornementale qui se limite aux moulures soulignant les différents niveaux.
04-0202;4;202;9 rue Budé;;BP;île Saint-Louis. Maison à loyer. Datant du XVIIe siècle les édifices à vocation locative s'implantent sur des parcelles étroites et parfois suffisamment profonde pour accueillir un autre bâtiment adossé en fond de terrain. Alignée sur rue la façade recouverte par un enduit de teinte claire présente une sobriété ornementale qui se limite aux moulures soulignant les différents niveaux.
04-0119;4;119;20-22 rue du Cloitre Saint-Merri;;BP;Maisons datant du XVIIIème siècle. Au numéro 20 façade composée de trois travées et de trois étages carrés sur rez-de-chaussée comportant de beaux appuis de fenêtre en fer forgé Louis XV. Porte cochère à vantaux en bois. Au numéro 22 : maison Louis XVI présentant une façade en pierre de taille composée de quatre travées et de quatre étages carrés portant aux trois premiers étages des appuis de fenêtre en fer forgé Louis XVI. Bandeaux d'étages et bandeaux plats soulignant les baies. Porte piétonne remarquable à vantail sculpté et surmontée d'un oculus.
04-0085;4;85;18 rue Le Regrattier;;BP;île Saint-Louis. Maison à loyer. Datant du XVIIe siècle les édifices à vocation locative s'implantent sur des parcelles étroites et parfois suffisamment profonde pour accueillir un autre bâtiment adossé en fond de terrain. Alignée sur rue la façade recouverte par un enduit de teinte claire présente une sobriété ornementale qui se limite aux moulures soulignant les différents niveaux.
04-0044;4;44;36 rue Saint-Louis en l'Ile;;BP;île Saint-Louis. Maison à loyer. Datant du XVIIe siècle les édifices à vocation locative s'implantent sur des parcelles étroites et parfois suffisamment profonde pour accueillir un autre bâtiment adossé en fond de terrain. Alignée sur rue la façade recouverte par un enduit de teinte claire présente une sobriété ornementale qui se limite aux moulures soulignant les différents niveaux.
04-0013;4;13;72 rue Saint-Louis en l'Ile;22 rue Le Regrattier;BP;île Saint-Louis. Maison de la haute bourgeoisie. Datant du XVIIe siècle les édifices initialement destinés à la haute bourgeoisie s'implantent sur une parcelle suffisamment grande pour être agrémentée d'une cour bien dimensionnée. Alignée sur rue la façade principale généralement en pierre présente une composition régulière ponctuée parfois par une porte cochère à rez-de-chaussée et un balcon à l'étage noble.
05-0374;5;374;5 rue Blainville;;BP;Maison de style Louis XV sans doute construite par le maître maçon René Besse acquéreur en 1720. Façade très sobre ornée de quatre beaux appuis de fer forgé au premier étage.
05-0309;5;309;17 rue des Boulangers;;BP;Maison reconstruite au XVIIIème siècle par l'entrepreneur de bâtiment Louis-Toussaint Lestrade pour lui-même. Longue façade composée de six travées et de deux étages carrés sur entresol et rez-de-chaussée. Lucarnes transformées. Escalier XVIIIème présentant une rampe à barreaux carrés sur limon tournant dont le vide central a été occulté par l'installation d'un ascenseur. Porte et garde-corps en fonte Louis-Philippe.
05-0312;5;312;77 rue du Cardinal Lemoine;;BP;Ancien couvent des Pères de la Doctrine chrétienne. Cette congrégation religieuse fondée au XVIème siècle en Italie s'établie en France sous Henri IV. Les religieux s'installent en 1627 dans l'ancien hôtel de Verberie. Ils édifient une chapelle dès 1628. L'établissement ferme en 1792. Le bâtiment sur rue a belle allure. La façade en pierre datant du milieu du XVIIème siècle est couronnée de grandes lucarnes maçonnées. Comme pour le Collège des Ecossais l'ancien portail a été repris en sous-oeuvre lors de l'abaissement du niveau de la rue (travaux réalisés en 1686 par Jean Beausire architecte de la ville de Paris). Un second portail ouvert sous le premier donne accès à la cour. Le couvent possédait dans la rue d'immenses terrains lotis après la Révolution.
05-0291;5;291;14 rue Cuvier;;BP;Immeuble de rapport du XIXème siècle attribué à l'architecte Charles Rohault de Fleury.
05-0105;5;105;12b-14 rue Domat;;BP;Maison du XVIIème siècle qui a conservé un escalier en bois à deux noyaux et balustres tournés. Elle a été comme ses voisines abîmée lors d'une restauration peu soignée.
05-0157;5;157;10 rue Laplace;;BP;Maison du XVIIème siècle présentant une façade sur rue composée de quatre travées principales de demi-croisées et de trois étages carrés sur rez-de-chaussée. Fruit sensible. Trois lucarnes maçonnées. Soubassement en pierre de taille. Linteaux en bois soutenus par des piles de pierre au-dessus des boutiques.
05-0343;5;343;6 rue Mouffetard;;BP;Maison présentant une façade composée de deux travées et de deux étages carrés sur rez-de-chaussée et sur laquelle subsiste une amusante enseigne de boucherie au premier étage formée de deux bœufs en stuc. Celui de droite qui avait disparu a été refait. Garde-corps en fonte à motif de palmettes de la première moitié du XIXème siècle.
05-0344;5;344;8 rue Mouffetard;;BP;"Maison construite sous Louis XVI. La façade composée de trois travées et de trois étages carrés sur rez-de-chaussée a conservé ses appuis de style néoclassique. Au premier étage les garde-corps latéraux ont conservé leur chiffre  ""JCP"". Lucarne conservée."
05-0359;5;359;48 rue Mouffetard;;BP;Haute maison reconstruite sous Louis XVI. On remarquera la porte piétonne avec son décor typique de consoles à gouttes et les appuis des deux premiers étages. L'escalier qui prend jour en façade date du XIXème siècle. Escalier XVIIIème à  barreaux carrés en fer forgé montés sur limon tournant attesté en octobre 2004 dans la cour.
05-0404;5;404;69-71 rue Mouffetard;;BP;"Ensemble cohérent de deux maisons anciennes élevées de quatre étages carrés sur rez-de-chaussée. Au n°69 maison à l'enseigne ""Au Vieux Chêne"". Propriété sous l'Ancien Régime du couvent voisin de Notre-Dame de la Miséricorde elle occupe l'emplacement de l'ancien hôtel de Mainville. En 1848 elle a abrité un club révolutionnaire puis à la fin du XIXème siècle un bal. Remarquable chêne en bois sculpté sur la façade ornant l'un des trumeaux au premier étage."
05-0421;5;421;119 rue Mouffetard;;BP;Maison présentant une façade composée de deux travées et de deux étages carrés sur rez-de-chaussée. Deux lucarnes conservées. Bâtiment protégé de la rue Mouffetard et de ses abords représentatif de l'architecture domestique des XVIIème et XVIIIème siècles. Il constitue un ensemble caractéristique de l'urbanisation des premiers faubourgs de Paris.
05-0316;5;316;8 rue Rollin;;BP;Maison à l'enseigne de l'Image Saint-Jean sous Louis XV acquise en 1735 par les Pères de la Doctrine chrétienne. Charles Rollin y habita et y mourut en 1741. La maison abrita sous la Troisième République l'école puis l'externat Saint-Geneviève et enfin le lycée Louis Lumière. Les maisons anciennes sont situées sur la rue séparées par un portail bas le vaste terrain situé à l'arrière ne comportant que des constructions médiocres.
05-0191;5;191;69 rue Saint-Jacques;;BP;Maison formée par la réunion de deux bâtiments. A droite façade composée de trois travées et de trois étages carrés sur rez-de-chaussée. Remarquable porte piétonne en bois. Au premier étage fenêtres cintrées et appuis de fenêtre en fer forgé XVIIIème conservés. A gauche façade composée de deux travées et de trois étages carrés bien hiérarchisé sur rez-de-chaussée. Soubassement en pierre de taille. Fruit apparent. Décor néo-gothique du XIXème siècle.
05-0200;5;200;267 rue Saint-Jacques;;BP;Cette petite maison à l'enseigne de la Providence a été construite en 1763-1764 par le maître charpentier Gabriel Michaux pour Jean Lacroix. Les fenêtres ont perdu leurs anciens appuis lorsque des persiennes ont été posées au XIXème siècle. Le rez-de-chaussée est formé de deux larges arcades surbaissées destinées aux boutiques et aujourd'hui dissimulées sous des coffrages.
